twitter_account,twitter_user,full_name,party
MarioDBCamp,Mario Diaz-Balart,Mario Diaz-Balart,R
RepLoriTrahan,Congresswoman Lori Trahan,Lori Trahan,D
RepYvetteClarke,Yvette D. Clarke,Yvette Clarke,D
CartwrightPA,Matt Cartwright,Matt Cartwright,D
GKButterfield,G. K. Butterfield,G. K. Butterfield,D
RepJBridenstine,Jim Bridenstine,Jim Bridenstine,R
RepSanfordSC,Mark Sanford (Archived),Mark Sanford,R
Robert_Aderholt,Robert Aderholt,Robert Aderholt,R
DrRandPaul,Rand Paul,Rand Paul,R
WelchForVT,Rep. Peter Welch,Peter Welch,D
LtGovDennyHeck,Denny Heck,Denny Heck,D
PeteOlson,Pete Olson,Pete Olson,R
GovRonDeSantis,Ron DeSantis,Ron DeSantis,R
JohnSarbanes,John Sarbanes,John Sarbanes,D
chuck4congress,Chuck Fleischmann,Chuck Fleischmann,R
RepElaineLuria,Rep. Elaine Luria,Elaine Luria,D
RepRWilliams,Rep. Roger Williams,Roger Williams,R
MikieSherrill,Mikie Sherrill,Mikie Sherrill,D
StaceyPlaskett,Rep. Stacey Plaskett,Stacey Plaskett,D
RepScottPerry,RepScottPerry,Scott Perry,R
RepRaulRuizMD,Raul Ruiz,Raul Ruiz,D
JudgeTedPoe,Ted Poe,Ted Poe,R
VP,Vice President Kamala Harris,Kamala Harris,D
SenatorLujan,Ben Ray Lujan,Ben Ray Lujan,D
JimHagedornMN,Jim Hagedorn,Jim Hagedorn,R
Vote4Cleaver,Cleaver For Congress ,Emanuel Cleaver,D
ToddRokita,Todd Rokita (Archived),Todd Rokita,R
amyklobuchar,Amy Klobuchar,Amy Klobuchar,D
RepBrianBabin,Brian Babin,Brian Babin,R
CapitoforWV,Capito for WV,Shelley Moore Capito,R
SenPatRoberts,Senator Pat Roberts,Pat Roberts,R
SenTedCruz,Senator Ted Cruz,Ted Cruz,R
Liz_Cheney,Liz Cheney,Liz Cheney,R
RepBuddyCarter,Buddy Carter,Buddy Carter,R
SenRubioPress,Senator Rubio Press,Marco Rubio,R
RepWesterman,Rep. Bruce Westerman,Bruce Westerman,R
