user,first_name,last_name,party
RepZoeLofgren,zoe,lofgren,D
RepLindaSanchez,linda,sanchez,D
RepTedLieu,ted,lieu,D
RepDrewFerguson,drew,ferguson,R
jahimes,jim,himes,D
RepSusanDavis,susan,davis,D
RepTedYoho,ted,yoho,R
RepHastingsFL,alcee,hastings,D
RepEsty,elizabeth,esty,D
RepDougCollins,doug,collins,R
RepDianaDeGette,diana,degette,D
RosLehtinen,ro,khanna,D
RepDWStweets,debbie,schultz,D
AustinScottGA08,austin,scott,R
RepJaredPolis,jared,polis,D
RepWebster,daniel,webster,R
RepTipton,scott,tipton,R
DarrellIssa,darrell,issa,R
RepJoeCourtney,joe,courtney,D
congbillposey,bill,posey,R
RepGusBilirakis,gus,bilirakis,R
RepTedDeutch,ted,deutch,D
SanfordBishop,sanford,bishop,D
RepLoudermilk,barry,loudermilk,R
RepBuddyCarter,buddy,carter,R
RepCharlieCrist,charlie,crist,D
VernBuchanan,vern,buchanan,R
RepRobinKelly,robin,kelly,D
RepDannyDavis,danny,davis,D
RepWalorski,jackie,walorski,R
SusanWBrooks,susan,brooks,R
RepLarryBucshon,larry,bucshon,R
RepJohnYarmuth,john,yarmuth,D
RepRichmond,mo,brooks,R
RepHuizenga,bill,huizenga,R
RepJohnDelaney,john,delaney,D
RepStephenLynch,stephen,lynch,D
RepDanKildee,dan,kildee,D
RepKClark,katherine,clark,D
RepWalberg,tim,walberg,R
RepMoolenaar,mo,brooks,R
WhipHoyer,steny,hoyer,D
RepMikeCapuano,mike,capuano,D
RepFredUpton,fred,upton,R
RepMikeBishop,mike,bishop,R
RepMcGovern,vern,buchanan,R
BettyMcCollum04,betty,mccollum,D
RepTimWalz,tim,walz,D
keithellison,keith,ellison,D
RepLawrence,brenda,lawrence,D
RepJasonLewis,jason,lewis,R
repcleaver,emanuel,cleaver,D
RepJoshG,josh,gottheimer,D
NydiaVelazquez,nydia,velazquez,D
RepYvetteClarke,yvette,clarke,D
RepDanDonovan,dan,donovan,R
RepSeanMaloney,sean,maloney,D
RepTomReed,tom,reed,R
RepWalterJones,walter,jones,R
RepBeatty,joyce,beatty,D
CongressmanGT,glenn,thompson,R
RepLouBarletta,lou,barletta,R
RepRyanCostello,ryan,costello,R
RepPeterDeFazio,peter,defazio,D
RepMarcyKaptur,marcy,kaptur,D
RepSteveStivers,steve,stivers,R
RepBrady,kevin,brady,R
RepBillJohnson,bill,johnson,R
